name,salary_from,salary_to,salary_currency,area_name,published_at
Начинающий специалист по обслуживанию POS-терминального оборудования,40000.0,,RUR,Ставрополь,2022-12-20T07:12:40+0300
Зуборезчик,126000.0,130000.0,RUR,Сарапул,2022-12-20T07:40:27+0300
Инженер по подключению и сопровождению корпоративных клиентов,60000.0,,RUR,Якутск,2022-12-20T05:15:34+0300
Инженер-программист 1С,120000.0,,RUR,Новокузнецк,2022-12-20T04:04:18+0300
Инженер по аналитической работе,40000.0,,RUR,Кемерово,2022-12-20T04:11:56+0300
Механик,120000.0,,RUR,Тюмень,2022-12-20T07:04:42+0300
Инженер по гарантии (Затон),40000.0,90000.0,RUR,Уфа,2022-12-20T07:39:29+0300
Администратор баз данных PostgreSQL,,,,Москва,2022-12-20T06:42:56+0300
Архитектор 1С,,,,Новокузнецк,2022-12-20T05:11:01+0300
Фрезеровщик,120000.0,,RUR,Казань,2022-12-20T05:48:27+0300
Копирайтер (написание продающих текстов),,,,Улан-Удэ,2022-12-20T07:06:05+0300
Администратор вычислительной сети,26000.0,,RUR,Тюмень,2022-12-20T07:22:48+0300
Оператор станков с ЧПУ,70000.0,,RUR,Екатеринбург,2022-12-20T06:37:11+0300
Программист 1С,40000.0,70000.0,RUR,Копейск,2022-12-20T06:57:59+0300
